[2024-04-15 00:00:59,888: INFO: main: Welcome to our custom log]
[2024-04-15 00:02:38,998: INFO: main: Welcome to our custom log]
[2024-04-15 21:38:13,927: INFO: main: Welcome to our custom log]
[2024-04-16 21:17:12,278: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-16 21:17:12,297: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-16 21:23:11,000: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-16 21:23:11,004: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-16 21:23:11,008: INFO: common: created directory at: artifacts]
[2024-04-16 21:24:35,744: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-16 21:24:35,749: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-16 21:24:35,752: INFO: common: created directory at: artifacts]
[2024-04-16 21:25:02,099: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-16 21:25:02,104: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-16 21:25:02,106: INFO: common: created directory at: artifacts]
[2024-04-16 21:41:06,876: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-16 21:41:06,880: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-16 21:41:06,882: INFO: common: created directory at: artifacts]
[2024-04-16 21:41:06,886: INFO: common: created directory at: artifacts/data_ingestion]
[2024-04-16 21:44:22,455: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-16 21:44:22,458: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-16 21:44:22,460: INFO: common: created directory at: artifacts]
[2024-04-16 21:44:22,463: INFO: common: created directory at: artifacts/data_ingestion]
[2024-04-16 21:55:03,430: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-16 21:55:03,436: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-16 21:55:03,438: INFO: common: created directory at: artifacts]
[2024-04-16 21:55:03,442: INFO: common: created directory at: artifacts/data_ingestion]
[2024-04-16 21:55:03,446: INFO: 1210845882: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-16 21:55:58,704: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-16 21:55:58,709: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-16 21:55:58,713: INFO: common: created directory at: artifacts]
[2024-04-16 21:55:58,715: INFO: common: created directory at: artifacts/data_ingestion]
[2024-04-16 21:55:58,719: INFO: 1322000666: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-16 21:56:12,329: INFO: 1322000666: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-16 22:30:41,601: INFO: main: >>>>> Stage Data Ingestion stage started <<<<<]
[2024-04-16 22:30:41,605: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-16 22:30:41,607: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-16 22:30:41,608: INFO: common: created directory at: artifacts]
[2024-04-16 22:30:41,610: INFO: common: created directory at: artifacts/data_ingestion]
[2024-04-16 22:30:41,610: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-16 22:31:24,907: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-16 22:31:26,300: INFO: main: >>>>> stage Data Ingestion stage completed <<<<< 

 x===============x]
